state,parliament_seat,dun_seat,polling_district,code,polling_centre,latitude,longitude
Perlis,P.001 PADANG BESAR,N.01 TITI TINGGI,JALAN PADANG BESAR,001/01/01,SEKOLAH MENENGAH KEBANGSAAN RAJA PUAN MUDA TENGKU FAUZIAH,100.221,6.63457
Perlis,P.001 PADANG BESAR,N.01 TITI TINGGI,TITI TINGGI,001/01/02,SEKOLAH KEBANGSAAN TITI TINGGI,100.2614028,6.635644444
Perlis,P.001 PADANG BESAR,N.01 TITI TINGGI,FELDA MATA AYER,001/01/03,SEKOLAH KEBANGSAAN (FELDA) MATA AIR,100.2804111,6.666558333
Perlis,P.001 PADANG BESAR,N.01 TITI TINGGI,KAMPONG KASTAM,001/01/04,SEKOLAH KEBANGSAAN PADANG BESAR UTARA,100.318593,6.659444
Perlis,P.001 PADANG BESAR,N.01 TITI TINGGI,PADANG BESAR,001/01/05,SEKOLAH MENENGAH KEBANGSAAN PADANG BESAR UTARA,100.3166,6.650333333
Perlis,P.001 PADANG BESAR,N.01 TITI TINGGI,FELDA RIMBA MAS,001/01/06,SEKOLAH KEBANGSAAN (FELDA) RIMBA MAS,100.299,6.64373
Perlis,P.001 PADANG BESAR,N.01 TITI TINGGI,LUBOK SIREH,001/01/07,SEKOLAH KEBANGSAAN LUBUK SIREH,100.2253417,6.648819444
Perlis,P.001 PADANG BESAR,N.02 BESERI,PEKAN KAKI BUKIT,001/02/01,SEKOLAH JENIS KEBANGSAAN (CINA) KONG HWA,100.208,6.64473
Perlis,P.001 PADANG BESAR,N.02 BESERI,TASOH,001/02/02,PUSAT KO-KURIKULUM JABATAN PENDIDIKAN NEGERI PERLIS KEM TASOH,,
Perlis,P.001 PADANG BESAR,N.02 BESERI,GUAR JENTIK,001/02/03,SEKOLAH KEBANGSAAN GUAR JENTIK,100.222,6.56169
Perlis,P.001 PADANG BESAR,N.02 BESERI,BESERI,001/02/04,SEKOLAH KEBANGSAAN BESERI,100.227947,6.535006
Perlis,P.001 PADANG BESAR,N.02 BESERI,TUNJONG,001/02/05,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,100.234,6.51809
Perlis,P.001 PADANG BESAR,N.03 CHUPING,PANGGAS,001/03/01,SEKOLAH MENENGAH KEBANGSAAN DATUK JAAFAR HASSAN,100.261,6.52497
Perlis,P.001 PADANG BESAR,N.03 CHUPING,SUNGAI BULOH,001/03/02,SEKOLAH KEBANGSAAN BATU BERTANGKUP,100.281,6.55151
Perlis,P.001 PADANG BESAR,N.03 CHUPING,KILANG GULA CHUPING,001/03/03,SEKOLAH RENDAH ISLAM III,100.3388722,6.494255556
Perlis,P.001 PADANG BESAR,N.03 CHUPING,KUBANG PERUN,001/03/04,SEKOLAH MENENGAH KEBANGSAAN GUAR NANGKA,100.289163,6.486759
Perlis,P.001 PADANG BESAR,N.03 CHUPING,GUAR NANGKA,001/03/05,SEKOLAH KEBANGSAAN GUAR NANGKA,100.288,6.475
Perlis,P.001 PADANG BESAR,N.03 CHUPING,FELDA CHUPING,001/03/06,SEKOLAH KEBANGSAAN (FELDA) CHUPING,100.34,6.49707
Perlis,P.001 PADANG BESAR,N.04 MATA AYER,TOK KAYA MAN,001/04/01,SEKOLAH KEBANGSAAN DATO KAYAMAN,100.2457889,6.499502778
Perlis,P.001 PADANG BESAR,N.04 MATA AYER,HUTAN TEMIN,001/04/02,SEKOLAH KEBANGSAAN ORAN,100.254,6.46705
Perlis,P.001 PADANG BESAR,N.04 MATA AYER,KAMPUNG GIAL,001/04/03,SEKOLAH JENIS KEBANGSAAN (CINA) KONG AIK,100.25845,6.472913889
Perlis,P.001 PADANG BESAR,N.05 SANTAN,KAMPONG DARAT,001/05/01,SEKOLAH KEBANGSAAN SERI TUNJONG,100.234,6.51719
Perlis,P.001 PADANG BESAR,N.05 SANTAN,PAYA,001/05/02,SEKOLAH KEBANGSAAN PAYA,100.224,6.5019
Perlis,P.001 PADANG BESAR,N.05 SANTAN,ALOR TAMPANG,001/05/03,PUSAT KEGIATAN (KEMAS) ALOR TAMPANG,,
Perlis,P.001 PADANG BESAR,N.05 SANTAN,PADANG LATI,001/05/04,DEWAN SERI MELATI BESERI,,
Perlis,P.001 PADANG BESAR,N.05 SANTAN,PADANG PAUH,001/05/05,SEKOLAH MENENGAH KEBANGSAAN ABI,100.205858,6.49543
Perlis,P.001 PADANG BESAR,N.05 SANTAN,SANTAN,001/05/06,SEKOLAH KEBANGSAAN SANTAN,100.2334889,6.484836111
Perlis,P.002 KANGAR,N.06 BINTONG,NESAM,002/06/01,SEKOLAH KEBANGSAAN PADANG KOTA,100.181,6.47195
Perlis,P.002 KANGAR,N.06 BINTONG,ABI,002/06/02,SEKOLAH KEBANGSAAN ABI,100.1990833,6.488872222
Perlis,P.002 KANGAR,N.06 BINTONG,KECHOR,002/06/03,SEKOLAH RENDAH ISLAM 1,100.1934667,6.464586111
Perlis,P.002 KANGAR,N.06 BINTONG,HUTAN MELINTANG,002/06/04,SEKOLAH KEBANGSAAN BEHOR EMPIANG,100.195,6.45824
Perlis,P.002 KANGAR,N.06 BINTONG,TELOK KACHANG,002/06/05,SEKOLAH KEBANGSAAN STELLA MARIS,100.185,6.44125
Perlis,P.002 KANGAR,N.06 BINTONG,WANG BINTONG,002/06/06,SEKOLAH KEBANGSAAN BINTONG,100.169,6.44219
Perlis,P.002 KANGAR,N.07 SENA,KAMPONG SALANG,002/07/01,SEKOLAH KEBANGSAAN KAMPONG SALANG,100.210855,6.466515
Perlis,P.002 KANGAR,N.07 SENA,REPOH,002/07/02,KOLEJ VOKASIONAL KANGAR,,
Perlis,P.002 KANGAR,N.07 SENA,ALOR LANCHANG,002/07/03,SEKOLAH KEBANGSAAN JEJAWI,100.229626,6.445542
Perlis,P.002 KANGAR,N.07 SENA,TAMAN INDERA,002/07/04,SEKOLAH KEBANGSAAN SERI INDERA,100.2026417,6.445897222
Perlis,P.002 KANGAR,N.07 SENA,TOK PEDUKA,002/07/05,SEKOLAH KEBANGSAAN SENA,100.207,6.43801
Perlis,P.002 KANGAR,N.07 SENA,PADANG BOHOR,002/07/06,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,100.2161694,6.426769444
Perlis,P.002 KANGAR,N.07 SENA,PADANG PETANI,002/07/07,INSTITUT LATIHAN PERINDUSTRIAN KANGAR (ILP),,
Perlis,P.002 KANGAR,N.08 INDERA KAYANGAN,PADANG KATONG,002/08/01,SEKOLAH KEBANGSAAN PUTRA,100.184,6.44452
Perlis,P.002 KANGAR,N.08 INDERA KAYANGAN,DERMA,002/08/02,SEKOLAH MENENGAH KEBANGSAAN SYED HASSAN,100.201403,6.447492
Perlis,P.002 KANGAR,N.08 INDERA KAYANGAN,PEKAN LAMA KANGAR,002/08/03,SEKOLAH MENENGAH KEBANGSAAN DERMA,100.1931361,6.441983333
Perlis,P.002 KANGAR,N.08 INDERA KAYANGAN,PENGKALAN ASSAM,002/08/04,SEKOLAH MENENGAH KEBANGSAAN PUTRA,100.185,6.44361
Perlis,P.002 KANGAR,N.08 INDERA KAYANGAN,PEKAN BARU KANGAR,002/08/05,SEKOLAH KEBANGSAAN SERI PERLIS,100.1945167,6.432922222
Perlis,P.002 KANGAR,N.08 INDERA KAYANGAN,SEBERANG BAKAU,002/08/06,SEKOLAH JENIS KEBANGSAAN (CINA) KHOON AIK,100.196675,6.429897222
Perlis,P.002 KANGAR,N.08 INDERA KAYANGAN,BEHOR GANDIN,002/08/07,SEKOLAH KEBANGSAAN JALAN RAJA SYED ALWI,100.1993722,6.418205556
Perlis,P.002 KANGAR,N.09 KUALA PERLIS,SEBERANG ALOR,002/09/01,SEKOLAH KEBANGSAAN SEBERANG RAMAI,100.131,6.41028
Perlis,P.002 KANGAR,N.09 KUALA PERLIS,HUJONG TANJONG,002/09/02,SEKOLAH JENIS KEBANGSAAN (CINA) KHAY BENG,100.1323361,6.410047222
Perlis,P.002 KANGAR,N.09 KUALA PERLIS,KEPALA BATAS,002/09/03,SEKOLAH KEBANGSAAN KUALA PERLIS,100.133,6.39941
Perlis,P.002 KANGAR,N.09 KUALA PERLIS,KEPALA BATAS,002/09/03,SEKOLAH JENIS KEBANGSAAN (CINA) CHOON SIEW,100.134,6.39857
Perlis,P.002 KANGAR,N.09 KUALA PERLIS,SEBERANG TOK PI,002/09/04,SEKOLAH MENENGAH KEBANGSAAN KUALA PERLIS,100.136,6.39535
Perlis,P.002 KANGAR,N.09 KUALA PERLIS,PADANG BESAR SELATAN,002/09/05,SEKOLAH KEBANGSAAN PADANG BESAR SELATAN,100.151,6.38703
Perlis,P.002 KANGAR,N.10 KAYANG,TITI TOK BANDAR,002/10/01,SEKOLAH KEBANGSAAN PANGGAU,100.159,6.42549
Perlis,P.002 KANGAR,N.10 KAYANG,BANGSAL LEBAH,002/10/02,SEKOLAH KEBANGSAAN KAYANG,100.1785972,6.395266667
Perlis,P.002 KANGAR,N.10 KAYANG,TEMAK,002/10/03,SEKOLAH KEBANGSAAN DATO WAN AHMAD,100.1874889,6.432302778
Perlis,P.002 KANGAR,N.10 KAYANG,SERIAB,002/10/04,SEKOLAH MENENGAH KEBANGSAAN DATO' ALI AHMAD,100.173677,6.428135
Perlis,P.002 KANGAR,N.10 KAYANG,GUNONG UTAN AJI,002/10/05,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,100.1830778,6.395158333
Perlis,P.002 KANGAR,N.10 KAYANG,HUJUNG BATU,002/10/06,SEKOLAH KEBANGSAAN UJONG BATU,100.204275,6.374672222
Perlis,P.003 ARAU,N.11 PAUH,GUAR GAJAH,003/11/01,SEKOLAH MENENGAH KEBANGSAAN DATO' SHEIKH AHMAD,100.267,6.43844
Perlis,P.003 ARAU,N.11 PAUH,GUAR GAJAH,003/11/01,SEKOLAH MENENGAH KEBANGSAAN AGAMA ARAU,100.2731583,6.435883333
Perlis,P.003 ARAU,N.11 PAUH,PADANG SIDING,003/11/02,SEKOLAH KEBANGSAAN PAUH,100.301,6.43917
Perlis,P.003 ARAU,N.11 PAUH,PAUH,003/11/03,SEKOLAH MENENGAH KEBANGSAAN TENGKU BUDRIAH,100.31,6.44231
Perlis,P.003 ARAU,N.11 PAUH,ISTANA,003/11/04,SEKOLAH KEBANGSAAN TENGKU BUDRIAH,100.2678694,6.436405556
Perlis,P.003 ARAU,N.11 PAUH,PEKAN ARAU,003/11/05,SEKOLAH JENIS KEBANGSAAN (CINA) HWA AIK,100.2737028,6.427247222
Perlis,P.003 ARAU,N.11 PAUH,KUBANG PAYA,003/11/06,SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN,100.3022361,6.437511111
Perlis,P.003 ARAU,N.12 TAMBUN TULANG,KUBANG GAJAH,003/12/01,SEKOLAH KEBANGSAAN KUBANG GAJAH,100.2502389,6.446772222
Perlis,P.003 ARAU,N.12 TAMBUN TULANG,JEJAWI,003/12/02,SEKOLAH MENENGAH KEBANGSAAN SYED SIRAJUDDIN,100.239,6.44576
Perlis,P.003 ARAU,N.12 TAMBUN TULANG,KAMPONG BANAT,003/12/03,SEKOLAH MENENGAH KEBANGSAAN ARAU,100.276,6.4238
Perlis,P.003 ARAU,N.12 TAMBUN TULANG,KAMPONG SURAU,003/12/04,SEKOLAH KEBANGSAAN UTAN AJI,100.2035111,6.399541667
Perlis,P.003 ARAU,N.12 TAMBUN TULANG,MENGKUANG LAYAR,003/12/05,SEKOLAH KEBANGSAAN LONG BOH,100.2272472,6.392405556
Perlis,P.003 ARAU,N.12 TAMBUN TULANG,TAMBUN TULANG,003/12/06,SEKOLAH KEBANGSAAN TAMBUN TULANG,100.24,6.37651
Perlis,P.003 ARAU,N.13 GUAR SANJI,GUAR SANJI,003/13/01,SEKOLAH KEBANGSAAN ARAU,100.275,6.42497
Perlis,P.003 ARAU,N.13 GUAR SANJI,KAMPONG SENA,003/13/02,SEKOLAH KEBANGSAAN JELEMPOK,100.2863694,6.404188889
Perlis,P.003 ARAU,N.13 GUAR SANJI,BEHOR MENTALON,003/13/03,SEKOLAH MENENGAH KEBANGSAAN SYED AHMAD,100.24545,6.382533333
Perlis,P.003 ARAU,N.13 GUAR SANJI,CHEMUMAR,003/13/04,SEKOLAH KEBANGSAAN RAJA PEREMPUAN BUDRIAH,100.2614778,6.363069444
Perlis,P.003 ARAU,N.13 GUAR SANJI,SERDANG,003/13/05,SEKOLAH KEBANGSAAN KAMPONG SERDANG,100.229,6.33405
Perlis,P.003 ARAU,N.13 GUAR SANJI,CHANGKAT JAWI,003/13/06,SEKOLAH KEBANGSAAN CHANGKAT JAWI,100.274,6.38449
Perlis,P.003 ARAU,N.14 SIMPANG EMPAT,SUNGAI BEREMBANG,003/14/01,SEKOLAH KEBANGSAAN SUNGAI BEREMBANG,100.1644556,6.358569444
Perlis,P.003 ARAU,N.14 SIMPANG EMPAT,BEHOR MALI,003/14/02,SEKOLAH KEBANGSAAN BOHOR MALI,100.184001,6.369953
Perlis,P.003 ARAU,N.14 SIMPANG EMPAT,SUNGAI BHARU,003/14/03,SEKOLAH KEBANGSAAN SUNGAI BARU,100.165,6.33506
Perlis,P.003 ARAU,N.14 SIMPANG EMPAT,SIMPANG EMPAT CHE KASIM,003/14/04,SEKOLAH KEBANGSAAN SIMPANG AMPAT,100.1892667,6.338469444
Perlis,P.003 ARAU,N.14 SIMPANG EMPAT,LAT SERIBU,003/14/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIMPANG EMPAT,100.188,6.34143
Perlis,P.003 ARAU,N.15 SANGLANG,BONGOR KUDONG,003/15/01,DEWAN 1 MALAYSIA SIMPANG EMPAT,,
Perlis,P.003 ARAU,N.15 SANGLANG,BUNGA MAS,003/15/02,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,100.1918917,6.331422222
Perlis,P.003 ARAU,N.15 SANGLANG,SUNGAI PADANG,003/15/03,SEKOLAH KEBANGSAAN DATO AHMAD MUSA,100.1765556,6.316575
Perlis,P.003 ARAU,N.15 SANGLANG,SIMPANG SANGLANG,003/15/04,SEKOLAH KEBANGSAAN SANGLANG,100.202,6.28568
Perlis,P.003 ARAU,N.15 SANGLANG,PADANG KERIA,003/15/05,SEKOLAH KEBANGSAAN PADANG KERIA,100.185,6.2896
Perlis,P.003 ARAU,N.15 SANGLANG,KUALA SANGLANG,003/15/06,SEKOLAH JENIS KEBANGSAAN (CINA) CHIN HUN,100.196225,6.261988889
Perlis,P.003 ARAU,N.15 SANGLANG,TOK PULAU,003/15/07,SEKOLAH MENENGAH KEBANGSAAN SANGLANG,100.204125,6.29835
Kedah,P.004 LANGKAWI,N.01 AYER HANGAT,KUALA TERIANG,004/01/01,SEKOLAH KEBANGSAAN KUALA TERIANG,,
Kedah,P.004 LANGKAWI,N.01 AYER HANGAT,EWA,004/01/02,SEKOLAH KEBANGSAAN EWA,,
Kedah,P.004 LANGKAWI,N.01 AYER HANGAT,PADANG LALANG,004/01/03,SEKOLAH KEBANGSAAN PENGHULU AHMAD,,
Kedah,P.004 LANGKAWI,N.01 AYER HANGAT,KILIM,004/01/04,SEKOLAH KEBANGSAAN KILIM,,
Kedah,P.004 LANGKAWI,N.01 AYER HANGAT,LADANG SUNGAI RAYA,004/01/05,SEKOLAH KEBANGSAAN SERI LAGENDA,,
Kedah,P.004 LANGKAWI,N.01 AYER HANGAT,WANG TOK RENDONG,004/01/06,DEWAN HOMESTAY DESA WANG TOK RENDONG,,
Kedah,P.004 LANGKAWI,N.01 AYER HANGAT,ULU MELAKA,004/01/07,SEKOLAH KEBANGSAAN ULU MELAKA,,
Kedah,P.004 LANGKAWI,N.01 AYER HANGAT,NYIOR CHABANG,004/01/08,SEKOLAH KEBANGSAAN NYIOR CHABANG,,
Kedah,P.004 LANGKAWI,N.01 AYER HANGAT,PADANG KANDANG,004/01/09,SEKOLAH JENIS KEBANGSAAN (CINA) MIN NAM,,
Kedah,P.004 LANGKAWI,N.01 AYER HANGAT,PADANG MATSIRAT,004/01/10,SEKOLAH KEBANGSAAN PADANG MATSIRAT,,
Kedah,P.004 LANGKAWI,N.01 AYER HANGAT,KAMPUNG ATAS,004/01/11,SEKOLAH MENENGAH KEBANGSAAN TUNKU PUTRA,,
Kedah,P.004 LANGKAWI,N.01 AYER HANGAT,BUKIT KEMBOJA,004/01/12,MAKTAB MAHMUD LANGKAWI PINTU A,,
Kedah,P.004 LANGKAWI,N.01 AYER HANGAT,MAKAM MAHSURI,004/01/13,MAKTAB MAHMUD LANGKAWI PINTU B,,
Kedah,P.004 LANGKAWI,N.02 KUAH,BENDANG BARU,004/02/01,SEKOLAH KEBANGSAAN SERI NEGERI,,
Kedah,P.004 LANGKAWI,N.02 KUAH,KAMPUNG GELAM,004/02/02,SEKOLAH MENENGAH KEBANGSAAN KEDAWANG,,
Kedah,P.004 LANGKAWI,N.02 KUAH,KEDAWANG,004/02/03,SEKOLAH KEBANGSAAN KEDAWANG,,
Kedah,P.004 LANGKAWI,N.02 KUAH,PANTAI CHENANG,004/02/04,LANGKAWI TOURISM ACADEMY @ KOLEJ KOMUNITI LANGKAWI; JALAN PANTAI CHENANG,,
Kedah,P.004 LANGKAWI,N.02 KUAH,TEMONYONG,004/02/05,SEKOLAH KEBANGSAAN TEMONYONG,,
Kedah,P.004 LANGKAWI,N.02 KUAH,KAMPUNG BAYAS,004/02/06,SEKOLAH KEBANGSAAN BAYAS,,
Kedah,P.004 LANGKAWI,N.02 KUAH,SUNGAI MENGHULU,004/02/07,KOLEJ VOKASIONAL LANGKAWI,,
Kedah,P.004 LANGKAWI,N.02 KUAH,KELIBANG,004/02/08,SEKOLAH KEBANGSAAN KELIBANG,,
Kedah,P.004 LANGKAWI,N.02 KUAH,DUNDONG,004/02/09,SEKOLAH MENENGAH KEBANGSAAN MAHSURI,,
Kedah,P.004 LANGKAWI,N.02 KUAH,PULAU DAYANG BUNTING,004/02/10,SEKOLAH KEBANGSAAN SELAT BAGAN NYIOR,,
Kedah,P.004 LANGKAWI,N.02 KUAH,LUBOK CHEMPEDAK,004/02/11,SEKOLAH MENENGAH KEBANGSAAN LANGKAWI; PULAU TUBA,,
Kedah,P.004 LANGKAWI,N.02 KUAH,KAMPUNG TUBA,004/02/12,SEKOLAH KEBANGSAAN PULAU TUBA,,
Kedah,P.004 LANGKAWI,N.02 KUAH,KUAH,004/02/13,SEKOLAH KEBANGSAAN LANGKAWI,,
Kedah,P.004 LANGKAWI,N.02 KUAH,KAMPUNG BUKIT MALUT,004/02/14,SEKOLAH KEBANGSAAN BAYAS,,
Kedah,P.005 JERLUN,N.03 KOTA SIPUTEH,KAMPUNG BAHAGIA,005/03/01,SEKOLAH MENENGAH KEBANGSAAN TUNKU BENDAHARA,,
Kedah,P.005 JERLUN,N.03 KOTA SIPUTEH,KAMPUNG PERING,005/03/02,SEKOLAH KEBANGSAAN SIPUTEH; PADANG SERA,,
Kedah,P.005 JERLUN,N.03 KOTA SIPUTEH,KAMPUNG KANDIS,005/03/03,SEKOLAH KEBANGSAAN KODIANG (BARU),,
Kedah,P.005 JERLUN,N.03 KOTA SIPUTEH,PEKAN KODIANG,005/03/04,SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA,,
Kedah,P.005 JERLUN,N.03 KOTA SIPUTEH,KAMPUNG KODIANG,005/03/05,SEKOLAH KEBANGSAAN TUNKU BENDAHARA,,
Kedah,P.005 JERLUN,N.03 KOTA SIPUTEH,KAMPUNG SIPUTEH,005/03/06,SEKOLAH MENENGAH KEBANGSAAN AGAMA JERLUN,,
Kedah,P.005 JERLUN,N.03 KOTA SIPUTEH,MEGAT DEWA,005/03/07,SEKOLAH KEBANGSAAN MEGAT DEWA,,
Kedah,P.005 JERLUN,N.03 KOTA SIPUTEH,BUKIT HANTU,005/03/08,SEKOLAH KEBANGSAAN DATO SYED NAHAR,,
Kedah,P.005 JERLUN,N.03 KOTA SIPUTEH,MESJID PAYA,005/03/09,SEKOLAH KEBANGSAAN DATO SYED NAHAR,,
Kedah,P.005 JERLUN,N.03 KOTA SIPUTEH,BATU 4 JALAN SANGLANG,005/03/10,PERTUBUHAN PELADANG KAWASAN B-2 SANGLANG; BATU 4; JALAN SANGLANG,,
Kedah,P.005 JERLUN,N.03 KOTA SIPUTEH,MANGGOL,005/03/11,SEKOLAH KEBANGSAAN MANGGOL BONGOR; MEGAT DEWA,,
Kedah,P.005 JERLUN,N.03 KOTA SIPUTEH,TOK KEPAK,005/03/12,SEKOLAH KEBANGSAAN TOK KEPAK; MEGAT DEWA,,
Kedah,P.005 JERLUN,N.03 KOTA SIPUTEH,SG. KOROK 2 MK SANGLANG,005/03/13,SEKOLAH KEBANGSAAN HAJI WAN YAHYA; JALAN SANGLANG,,
Kedah,P.005 JERLUN,N.03 KOTA SIPUTEH,SG. KOROK,005/03/14,SEKOLAH KEBANGSAAN HAJI WAN YAHYA; JALAN SANGLANG,,
Kedah,P.005 JERLUN,N.03 KOTA SIPUTEH,KAMPUNG SANGLANG,005/03/15,SEKOLAH KEBANGSAAN SANGLANG; AYER HITAM,,
Kedah,P.005 JERLUN,N.03 KOTA SIPUTEH,KERPAN,005/03/16,SEKOLAH JENIS KEBANGSAAN (CINA) LAM MIN; KERPAN,,
Kedah,P.005 JERLUN,N.03 KOTA SIPUTEH,KUALA SANGLANG,005/03/17,SEKOLAH MENENGAH KEBANGSAAN SANGLANG; AYER HITAM,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,PADANG SERA,005/04/01,SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN; PADANG SERA,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,KAMPUNG MELELE,005/04/02,SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE; PADANG SERA,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,KAMPUNG PUTAT,005/04/03,SEKOLAH KEBANGSAAN PUTAT; JITRA,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,KAMPUNG IMAM,005/04/04,SEKOLAH MENENGAH KEBANGSAAN MEGAT DEWA; KODIANG,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,TELAGA BATU,005/04/05,SEKOLAH MENENGAH KEBANGSAAN TUNKU SERI INDERA PUTERA; AIR HITAM,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,PADANG PERAHU,005/04/06,SEKOLAH KEBANGSAAN PADANG PERAHU; JITRA,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,KAMPUNG PIDA,005/04/07,SEKOLAH KEBANGSAAN PIDA TIGA; TUNJANG,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,KAMPUNG GURINDAM,005/04/08,SEKOLAH KEBANGSAAN PULAU CHAPA; JITRA,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,ALOR BIAK,005/04/09,SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN; SUNGAI KOROK,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,KUBANG SEPAT,005/04/10,SEKOLAH MENENGAH AGAMA HIDAYAH ISLAMIAH; ALOR BIAK,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,LANA BULU,005/04/11,SEKOLAH KEBANGSAAN DATO' SRI SYED AHMAD; AYER HITAM,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,PERMATANG PAKU,005/04/12,SEKOLAH KEBANGSAAN MATANG PAKU; AYER HITAM,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,MATANG BONGLAI,005/04/13,SEKOLAH KEBANGSAAN TUNKU LAKSAMANA; AYER HITAM,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,JERLUN,005/04/14,SEKOLAH MENENGAH KEBANGSAAN JERLUN; AYER HITAM,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,LUBOK PINANG,005/04/15,SEKOLAH MENENGAH KEBANGSAAN AYER HITAM; AYER HITAM,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,PEKAN AYER HITAM,005/04/16,SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN; AYER HITAM,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,KAMPUNG GANDAI,005/04/17,SEKOLAH KEBANGSAAN AYER HITAM; AYER HITAM,,
Kedah,P.005 JERLUN,N.04 AYER HITAM,KUBANG NIPAH,005/04/18,SEKOLAH KEBANGSAAN JERLUN; AYER HITAM,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,BUKIT KAYU HITAM,006/05/01,SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM; BUKIT KAYU HITAM,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,FELDA BUKIT TANGGA,006/05/02,SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA; BANDAR BUKIT KAYU HITAM,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,TEMIN,006/05/03,SEKOLAH KEBANGSAAN DATO' WAN KEMARA; CHANGLUN,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,FELDA LAKA SELATAN,006/05/04,SEKOLAH KEBANGSAAN FELDA LAKA SELATAN; CHANGLUN,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,FELDA BATU LAPAN,006/05/05,SEKOLAH KEBANGSAAN BATU 8; CHANGLUN,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,PEKAN BARU CHANGLUN,006/05/06,SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN; CHANGLUN,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,PEKAN LAMA CHANGLUN,006/05/07,SEKOLAH JENIS KEBANGSAAN (TAMIL) CHANGLUN; CHANGLUN,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,SINTOK,006/05/08,SEKOLAH KEBANGSAAN BANDAR BARU SINTOK; SINTOK,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,KAMPUNG DARAT,006/05/09,SEKOLAH MENENGAH KEBANGSAAN CHANGLUN; CHANGLUN,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,KUBANG PASU,006/05/10,SEKOLAH MENENGAH KEBANGSAAN HOSBA; CHANGLUN,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,GUAR NAPAI,006/05/11,SEKOLAH KEBANGSAAN GUAR NAPAI; KODIANG,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,HUSBA,006/05/12,SEKOLAH KEBANGSAAN HOSBA,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,KAMPUNG NAPOH,006/05/13,SEKOLAH KEBANGSAAN HOSBA,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,BINJAL,006/05/14,PERTUBUHAN PELADANG KAWASAN ASUN,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,KAMPUNG BEMBAN,006/05/15,SEKOLAH KEBANGSAAN GELONG,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,PULAU PISANG,006/05/16,SEKOLAH KEBANGSAAN PULAU NYIOR,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,PEKAN TUNJANG,006/05/17,SEKOLAH KEBANGSAAN TUNJANG,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,PULAU TIMBOL,006/05/18,SEKOLAH KEBANGSAAN HAKIM TEH; PULAU TIMBUL,,
Kedah,P.006 KUBANG PASU,N.05 BUKIT KAYU HITAM,PADANG LIMAU,006/05/19,BANGUNAN PERSATUAN PELADANG (MADA) D-11 TUNJANG,,
